,title,brand,category,actual_price,discount_price,rating,rating_count,discount_percent,price_category,popularity_score,revenue_potential
0,Smart Fitness Watch,Dell,Laptop,69890.0,65271.0,2.6,2128.0,6.60895693232222,Premium,19.92485992872305,148725920.0
1,Laptop with SSD Storage,LG,Smartwatch,66771.0,63977.0,2.5,9118.0,4.1844513336628175,Premium,22.795288569834163,608817978.0
2,High Resolution Monitor,Mi,Headphones,43598.0,39679.0,1.9,2517.0,8.988944446992981,Premium,14.879318407748155,109736166.0
3,4K Action Camera,HP,Camera,63408.0,58877.0,3.7,17533.0,7.1457860206913955,Premium,36.15601938894957,1111732464.0
4,Smart Fitness Watch,Samsung,Monitor,49224.0,45017.0,4.9,14228.0,8.546643913538112,Premium,46.858883331273894,700359072.0
5,Gaming Laptop,Mi,Smartwatch,17009.0,12349.0,1.7,14179.0,27.397260273972602,Premium,16.2512992601464,241170611.0
6,Smartphone with AMOLED Display,OnePlus,Laptop,10026.0,5451.0,3.4,18262.0,45.63135846798325,Premium,33.36295027625294,183094812.0
7,Smart Fitness Watch,Sony,Laptop,61124.0,56399.0,2.7,9675.0,7.730187814933577,Premium,24.778990453670783,591374700.0
8,High Resolution Monitor,Boat,Monitor,40842.0,39232.0,2.8,309.0,3.9420204691249205,Premium,16.062402432941738,12620178.0
9,4K Action Camera,Dell,Speaker,20545.0,16733.0,2.0,3952.0,18.554392796300803,Premium,16.56446012659337,81193840.0
10,Laptop with SSD Storage,LG,Tablet,35053.0,33839.0,4.3,19433.0,3.463326962028928,Premium,42.46155137011735,681184949.0
11,High Resolution Monitor,Dell,Headphones,21616.0,18844.0,2.9,13871.0,12.823834196891193,Premium,27.659120327158934,299835536.0
12,High Resolution Monitor,Mi,Laptop,16260.0,13852.0,3.2,9692.0,14.809348093480935,Premium,29.37330961437635,157591920.0
13,Smartphone with AMOLED Display,Boat,Smartphone,31091.0,30571.0,2.2,15.0,1.6725097295037148,Premium,6.099695188927519,466365.0
14,Portable Bluetooth Speaker,OnePlus,Camera,25516.0,24050.0,1.7,16989.0,5.745414641793385,Premium,16.558646364932162,433491324.0
15,4K Action Camera,JBL,Smartwatch,32767.0,31249.0,1.3,16005.0,4.632709738456374,Premium,12.584934610205089,524435835.0
16,Noise Cancelling Earbuds,Samsung,Speaker,64727.0,63869.0,3.9,14278.0,1.3255673830086363,Premium,37.309526301178146,924172106.0
17,High Resolution Monitor,Boat,Tablet,62347.0,62126.0,1.8,14817.0,0.3544677370202255,Premium,17.286476286557885,923795499.0
18,Portable Bluetooth Speaker,Sony,Monitor,73590.0,69414.0,3.8,9759.0,5.674684060334285,Premium,34.90698118174713,718164810.0
19,Noise Cancelling Earbuds,HP,Camera,47314.0,43122.0,2.6,15664.0,8.859956883797608,Premium,25.11387892880436,741126496.0
20,4K Action Camera,OnePlus,Headphones,4378.0,103.0,2.7,6412.0,97.64732754682504,Premium,23.668422639701934,28071736.0
21,Wireless Bluetooth Headphones,Samsung,Speaker,78689.0,76240.0,2.9,10196.0,3.1122520301439844,Premium,26.766561631256256,802313044.0
22,Gaming Laptop,LG,Tablet,50819.0,49124.0,2.5,8507.0,3.335366693559495,Premium,22.62190544080032,432317233.0
23,Portable Bluetooth Speaker,HP,Smartwatch,4342.0,4235.0,1.4,4820.0,2.4643021649009675,Premium,11.87303131616787,20928440.0
24,Android Tablet,Mi,Smartwatch,49352.0,48173.0,2.2,7835.0,2.388960933700762,Premium,19.72626431394175,386672920.0
25,Wireless Bluetooth Headphones,Boat,Monitor,14689.0,13286.0,3.7,1849.0,9.551364966982096,Premium,27.83488139686777,27159961.0
26,Gaming Laptop,Samsung,Smartphone,68411.0,67594.0,3.7,13587.0,1.1942523863121428,Premium,35.21268661833776,929500257.0
27,Smartphone with AMOLED Display,Apple,Monitor,51033.0,47088.0,2.1,1953.0,7.730292163893951,Premium,15.91303104846573,99667449.0
