,area_type,availability,location,size,total_sqft,bath,balcony,price
0,Super built-up  Area,19-Dec,Electronic City Phase II,2 BHK,1056.0,2.0,1.0,39.07
1,Plot  Area,Ready To Move,Chikka Tirupathi,4 Bedroom,2600.0,5.0,3.0,120.0
2,Built-up  Area,Ready To Move,Uttarahalli,3 BHK,1440.0,2.0,3.0,62.0
3,Super built-up  Area,Ready To Move,Lingadheeranahalli,3 BHK,1521.0,3.0,1.0,95.0
4,Super built-up  Area,Ready To Move,Kothanur,2 BHK,1200.0,2.0,1.0,51.0
5,Super built-up  Area,Ready To Move,Whitefield,2 BHK,1170.0,2.0,1.0,38.0
6,Super built-up  Area,18-May,Old Airport Road,4 BHK,2732.0,4.0,0.0,204.0
7,Super built-up  Area,Ready To Move,Rajaji Nagar,4 BHK,3300.0,4.0,0.0,600.0
8,Super built-up  Area,Ready To Move,Marathahalli,3 BHK,1310.0,3.0,1.0,63.25
9,Plot  Area,Ready To Move,Gandhi Bazar,6 Bedroom,1020.0,6.0,0.0,370.0
10,Super built-up  Area,18-Feb,Whitefield,3 BHK,1800.0,2.0,2.0,70.0
11,Plot  Area,Ready To Move,Whitefield,4 Bedroom,2785.0,5.0,3.0,295.0
12,Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,1000.0,2.0,1.0,38.0
13,Built-up  Area,Ready To Move,Gottigere,2 BHK,1100.0,2.0,2.0,40.0
14,Plot  Area,Ready To Move,Sarjapur,3 Bedroom,2250.0,3.0,2.0,148.0
15,Super built-up  Area,Ready To Move,Mysore Road,2 BHK,1175.0,2.0,2.0,73.5
16,Super built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,1180.0,3.0,2.0,48.0
17,Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,1540.0,3.0,3.0,60.0
18,Super built-up  Area,Ready To Move,Ramakrishnappa Layout,3 BHK,2770.0,4.0,2.0,290.0
19,Super built-up  Area,Ready To Move,Manayata Tech Park,2 BHK,1100.0,2.0,2.0,48.0
20,Built-up  Area,Ready To Move,Kengeri,1 BHK,600.0,1.0,1.0,15.0
21,Super built-up  Area,19-Dec,Binny Pete,3 BHK,1755.0,3.0,1.0,122.0
22,Plot  Area,Ready To Move,Thanisandra,4 Bedroom,2800.0,5.0,2.0,380.0
23,Super built-up  Area,Ready To Move,Bellandur,3 BHK,1767.0,3.0,1.0,103.0
24,Super built-up  Area,18-Nov, Thanisandra,1 RK,510.0,1.0,0.0,25.25
25,Super built-up  Area,18-May,Mangammanapalya,3 BHK,1250.0,3.0,2.0,56.0
26,Super built-up  Area,Ready To Move,Electronic City,2 BHK,660.0,1.0,1.0,23.1
27,Built-up  Area,20-Dec,Whitefield,3 BHK,1610.0,3.0,2.0,81.0
28,Super built-up  Area,17-Oct,Ramagondanahalli,2 BHK,1151.0,2.0,2.0,48.77
29,Super built-up  Area,Ready To Move,Electronic City,3 BHK,1025.0,2.0,1.0,47.0
30,Super built-up  Area,19-Dec,Yelahanka,4 BHK,2475.0,4.0,0.0,186.0
31,Super built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,1075.0,2.0,1.0,35.0
32,Super built-up  Area,Ready To Move,Hebbal,3 BHK,1760.0,2.0,2.0,123.0
33,Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,1693.0,3.0,3.0,57.39
34,Built-up  Area,Ready To Move,Kasturi Nagar,3 BHK,1925.0,3.0,0.0,125.0
35,Super built-up  Area,21-Dec,Kanakpura Road,2 BHK,700.0,2.0,1.0,36.0
36,Super built-up  Area,Ready To Move,Electronics City Phase 1,2 BHK,1070.0,2.0,1.0,45.5
37,Super built-up  Area,Ready To Move,Kundalahalli,3 BHK,1724.0,3.0,2.0,125.0
38,Super built-up  Area,Ready To Move,Chikkalasandra,3 BHK,1290.0,2.0,2.0,56.12
39,Built-up  Area,Ready To Move,Uttarahalli,2 BHK,1143.0,2.0,2.0,45.0
40,Built-up  Area,Ready To Move,Murugeshpalya,2 BHK,1296.0,2.0,0.0,81.0
41,Super built-up  Area,19-Dec,Sarjapur  Road,3 BHK,1254.0,3.0,2.0,38.0
42,Super built-up  Area,Ready To Move,Ganga Nagar,1 BHK,600.0,1.0,0.0,38.0
43,Plot  Area,Ready To Move,Yelahanka,1 Bedroom,660.0,1.0,0.0,48.0
44,Super built-up  Area,19-Sep,Kanakpura Road,2 BHK,1330.74,2.0,2.0,91.79
45,Plot  Area,Ready To Move,HSR Layout,8 Bedroom,600.0,9.0,0.0,200.0
46,Super built-up  Area,Ready To Move,Doddathoguru,2 BHK,970.0,2.0,0.0,33.0
47,Super built-up  Area,20-Sep,Whitefield,2 BHK,1459.0,2.0,1.0,94.82
48,Plot  Area,Ready To Move,KR Puram,2 Bedroom,800.0,1.0,1.0,130.0
49,Built-up  Area,Ready To Move,Himagiri Meadows,2 BHK,869.0,2.0,1.0,36.0
50,Super built-up  Area,Ready To Move,Adarsh Nagar,2 BHK,1270.0,2.0,1.0,50.0
51,Super built-up  Area,18-Mar,Bhoganhalli,3 BHK,1670.0,3.0,1.0,99.0
52,Built-up  Area,Ready To Move,Whitefield,3 BHK,2010.0,3.0,2.0,91.0
53,Super built-up  Area,Ready To Move,Lakshminarayana Pura,2 BHK,1185.0,2.0,2.0,75.0
54,Super built-up  Area,Ready To Move,Yelahanka,3 BHK,1600.0,2.0,3.0,75.0
55,Super built-up  Area,Ready To Move,Begur Road,2 BHK,1200.0,2.0,2.0,44.0
56,Built-up  Area,20-Feb,Devanahalli,4 Bedroom,3210.0,2.0,0.0,192.0
57,Super built-up  Area,Ready To Move,Ramakrishnappa Layout,2 BHK,1500.0,2.0,2.0,185.0
58,Plot  Area,Ready To Move,Murugeshpalya,6 Bedroom,1407.0,4.0,1.0,150.0
59,Super built-up  Area,Ready To Move,Govindaraja Nagar Ward,2 BHK,840.0,2.0,2.0,45.0
60,Plot  Area,Ready To Move,Tharabanahalli,3 Bedroom,4395.0,3.0,2.0,240.0
61,Super built-up  Area,Ready To Move,Ganga Nagar,2 BHK,845.0,2.0,1.0,55.0
62,Plot  Area,Ready To Move,Whitefield,4 Bedroom,5700.0,5.0,3.0,650.0
63,Built-up  Area,Ready To Move,Varthur,2 BHK,1160.0,2.0,2.0,44.0
64,Built-up  Area,Ready To Move,Bommanahalli,8 Bedroom,3000.0,8.0,0.0,140.0
65,Super built-up  Area,Ready To Move,Doddathoguru,2 BHK,1100.0,2.0,1.0,62.0
66,Super built-up  Area,18-Apr,Gunjur,2 BHK,1140.0,2.0,3.0,43.0
67,Super built-up  Area,Ready To Move,Marathahalli,2 BHK,1220.0,2.0,1.0,57.0
68,Plot  Area,Ready To Move,Devarachikkanahalli,8 Bedroom,1350.0,7.0,0.0,85.0
69,Super built-up  Area,Ready To Move,Kanakpura Road,2 BHK,1005.0,2.0,1.0,36.68
70,Plot  Area,Ready To Move,Double Road,3 Bedroom,500.0,3.0,2.0,100.0
71,Super built-up  Area,20-Aug,Begur Road,2 BHK,1358.0,2.0,1.0,80.58
72,Super built-up  Area,Ready To Move,Hegde Nagar,3 BHK,1569.0,3.0,1.0,101.0
73,Super built-up  Area,18-Apr,Haralur Road,2 BHK,1240.0,2.0,1.0,70.0
74,Super built-up  Area,Ready To Move,Hennur Road,3 BHK,2089.0,3.0,2.0,140.0
75,Super built-up  Area,Ready To Move,Kothannur,2 BHK,1206.0,2.0,1.0,48.23
76,Super built-up  Area,Ready To Move,Kalena Agrahara,2 BHK,1150.0,2.0,3.0,40.0
77,Built-up  Area,Ready To Move,Cholanayakanahalli,3 BHK,2511.0,3.0,3.0,205.0
78,Built-up  Area,Ready To Move,Kaval Byrasandra,2 BHK,460.0,1.0,0.0,22.0
79,Built-up  Area,Ready To Move,ISRO Layout,6 Bedroom,4400.0,6.0,3.0,250.0
80,Super built-up  Area,Ready To Move,Kodanda Reddy Layout,3 BHK,1660.0,2.0,2.0,105.0
81,Built-up  Area,18-Oct,Hennur Road,4 Bedroom,3203.5,2.0,0.0,224.5
82,Super built-up  Area,19-Mar,Yelahanka,2 BHK,1326.0,2.0,2.0,78.0
83,Super built-up  Area,Ready To Move,Garudachar Palya,3 BHK,1325.0,2.0,2.0,60.8
84,Super built-up  Area,Ready To Move,EPIP Zone,3 BHK,1499.0,5.0,2.0,102.0
85,Built-up  Area,Ready To Move,Hegde Nagar,6 Bedroom,3000.0,7.0,2.0,210.0
86,Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,1665.0,3.0,2.0,88.0
87,Super built-up  Area,17-Sep,Dasanapura,2 BHK,708.0,2.0,2.0,37.0
88,Super built-up  Area,Ready To Move,Kasavanhalli,2 BHK,1060.0,2.0,2.0,58.06
89,Plot  Area,Ready To Move,Rajaji Nagar,6 Bedroom,710.0,6.0,3.0,160.0
90,Built-up  Area,Ready To Move,Sanjay nagar,2 BHK,1000.0,2.0,2.0,70.0
91,Super built-up  Area,18-Dec,Electronic City,2 BHK,1000.0,2.0,1.0,28.88
92,Super built-up  Area,Ready To Move, Mysore Highway,3 BHK,1450.0,2.0,2.0,70.0
93,Plot  Area,Ready To Move,ISRO Layout,4 Bedroom,1200.0,4.0,2.0,155.0
94,Super built-up  Area,17-Aug,Thanisandra,2 BHK,1296.0,2.0,3.0,80.0
95,Super built-up  Area,Ready To Move,Domlur,3 BHK,1540.0,3.0,2.0,90.0
96,Plot  Area,Ready To Move,Kengeri,4 Bedroom,2894.0,4.0,1.0,245.0
97,Super built-up  Area,Ready To Move,Sarjapura - Attibele Road,3 BHK,1330.0,2.0,1.0,48.0
98,Built-up  Area,Ready To Move,Devasthanagalu,2 BHK,1200.0,2.0,1.0,65.0
99,Built-up  Area,Ready To Move,T Dasarahalli,3 Bedroom,1200.0,3.0,1.0,90.0
100,Super built-up  Area,Ready To Move,Yeshwanthpur,3 BHK,2502.0,3.0,3.0,138.0
101,Built-up  Area,Ready To Move,Chandapura,2 BHK,650.0,1.0,1.0,17.0
102,Plot  Area,Ready To Move,Kothanur,3 Bedroom,2400.0,2.0,1.0,150.0
103,Super built-up  Area,Ready To Move,Green View Layout,2 BHK,1007.0,2.0,2.0,43.0
104,Super built-up  Area,Ready To Move,Shantiniketan Layout,2 BHK,1200.0,2.0,2.0,50.0
105,Super built-up  Area,Ready To Move,Peenya,2 BHK,966.0,2.0,2.0,49.9
106,Built-up  Area,Ready To Move,Nagarbhavi,3 BHK,1630.0,2.0,1.0,98.0
107,Built-up  Area,Ready To Move,Rajaji Nagar,3 BHK,1640.0,3.0,2.0,229.0
108,Built-up  Area,Ready To Move,Jalahalli West,2 BHK,782.0,2.0,2.0,55.68
109,Super built-up  Area,19-Apr,Devanahalli,2 BHK,1260.0,2.0,2.0,66.78
110,Super built-up  Area,Ready To Move,Lakshmiamma Garden,3 BHK,1800.0,3.0,3.0,120.0
111,Super built-up  Area,Ready To Move,Byatarayanapura,3 BHK,1413.0,2.0,2.0,75.0
112,Super built-up  Area,Ready To Move,Whitefield,2 BHK,1116.0,2.0,1.0,51.91
113,Super built-up  Area,Ready To Move,Electronic City,3 BHK,1530.0,2.0,1.0,45.9
114,Built-up  Area,Ready To Move,Ramamurthy Nagar,4 Bedroom,3700.0,4.0,1.0,225.0
115,Built-up  Area,Ready To Move,Sarjapur  Road,3 Bedroom,2497.0,3.0,2.0,140.0
116,Super built-up  Area,Ready To Move,Kengeri,3 BHK,1540.0,2.0,3.0,64.0
117,Super built-up  Area,18-Dec,Thanisandra,3 BHK,1436.0,3.0,1.0,74.75
118,Super built-up  Area,18-Jun,Malleshwaram,2 BHK,1100.0,2.0,2.0,75.0
119,Plot  Area,Ready To Move,Hennur Road,2 Bedroom,276.0,3.0,3.0,23.0
120,Super built-up  Area,Ready To Move,Thanisandra,3 BHK,1427.0,3.0,2.0,120.0
121,Super built-up  Area,Ready To Move,Akshaya Nagar,3 BHK,2061.0,3.0,1.0,200.0
122,Super built-up  Area,18-Mar,Hebbal,4 BHK,5611.5,4.0,0.0,477.0
123,Built-up  Area,Ready To Move,Shampura,4 BHK,2650.0,4.0,2.0,150.0
124,Super built-up  Area,22-Dec,Devanahalli,3 BHK,1282.0,2.0,2.0,68.52
125,Built-up  Area,Ready To Move,Kadugodi,2 BHK,1050.0,2.0,1.0,34.0
126,Built-up  Area,Ready To Move,LB Shastri Nagar,3 BHK,1600.0,3.0,2.0,65.0
127,Super built-up  Area,22-Jan,Vajarahalli,2 BHK,945.0,2.0,1.0,54.0
128,Super built-up  Area,Ready To Move,Hormavu,2 BHK,1500.0,2.0,1.0,78.0
129,Plot  Area,Ready To Move,Vishwapriya Layout,7 Bedroom,950.0,7.0,0.0,115.0
130,Built-up  Area,Ready To Move,Peenya,3 BHK,1870.0,3.0,3.0,110.0
131,Plot  Area,Ready To Move,Sarjapur,3 Bedroom,1600.0,3.0,1.0,75.0
132,Super built-up  Area,Ready To Move,Electronic City,2 BHK,880.0,1.0,1.0,16.5
133,Plot  Area,Ready To Move,Ramaswamy Palya - Kammanahalli Main Road,4 Bedroom,1200.0,4.0,0.0,210.0
134,Super built-up  Area,Ready To Move,Kudlu Gate,3 BHK,1535.0,3.0,2.0,83.0
135,Built-up  Area,Ready To Move,Kanakpura Road,2 BHK,950.0,2.0,1.0,57.0
136,Super built-up  Area,18-Aug,Devanahalli,2 BHK,1360.0,2.0,1.0,65.0
137,Super built-up  Area,19-Mar,8th Phase JP Nagar,2 BHK,1073.5,2.0,0.0,54.005
138,Super built-up  Area,18-May,Bommasandra Industrial Area,3 BHK,1280.0,3.0,1.0,50.4
139,Super built-up  Area,19-Jan,Chandra Layout,3 BHK,1260.0,2.0,2.0,85.05
140,Built-up  Area,Ready To Move,Hennur Road,8 Bedroom,5000.0,8.0,0.0,250.0
141,Super built-up  Area,19-Dec,Yelahanka,5 BHK,3050.0,5.0,1.0,213.0
142,Super built-up  Area,Ready To Move,Kasavanhalli,3 BHK,1563.05,3.0,1.0,105.0
143,Super built-up  Area,Ready To Move,ISRO Layout,2 BHK,1000.0,2.0,1.0,60.0
144,Super built-up  Area,17-Jul,Anandapura,2 BHK,1167.0,2.0,1.0,43.76
145,Super built-up  Area,Ready To Move,Vishveshwarya Layout,7 BHK,4000.0,7.0,2.0,225.0
146,Super built-up  Area,Ready To Move,Kothanur,3 BHK,1828.0,3.0,0.0,110.0
147,Super built-up  Area,Ready To Move,Kengeri Satellite Town,2 BHK,890.0,2.0,1.0,35.0
148,Super built-up  Area,Ready To Move,Basavanapura,3 BHK,1612.0,3.0,3.0,46.74
149,Plot  Area,Ready To Move,Dinnur,6 Bedroom,1034.0,5.0,0.0,185.0
150,Super built-up  Area,19-Apr,Mysore Road,3 BHK,1710.0,4.0,2.0,91.31
151,Super built-up  Area,Ready To Move,Kannamangala,2 BHK,957.0,2.0,1.0,58.0
152,Super built-up  Area,18-May, Devarachikkanahalli,3 BHK,1250.0,2.0,3.0,44.0
153,Super built-up  Area,Ready To Move,Sanjeevini Nagar,3 BHK,2795.0,4.0,0.0,235.0
154,Super built-up  Area,Ready To Move,Hulimavu,2 BHK,1125.0,2.0,2.0,50.0
155,Super built-up  Area,18-Jul,Electronic City Phase II,2 BHK,1020.0,2.0,1.0,30.6
156,Super built-up  Area,Ready To Move,Kalena Agrahara,2 BHK,1200.0,2.0,2.0,50.0
157,Super built-up  Area,Ready To Move,Thanisandra,3 BHK,1735.0,3.0,3.0,135.0
158,Super built-up  Area,Ready To Move,Thanisandra,3 BHK,2050.0,3.0,1.0,145.0
159,Plot  Area,Ready To Move,Mahalakshmi Layout,4 Bedroom,3750.0,4.0,0.0,760.0
160,Built-up  Area,Ready To Move,Yarandahalli,3 BHK,1350.0,2.0,3.0,48.0
161,Super built-up  Area,18-May,Hosa Road,2 BHK,1063.0,2.0,1.0,32.0
162,Super built-up  Area,Ready To Move,Keshava Nagar,3 BHK,1904.0,3.0,1.0,150.0
163,Built-up  Area,Ready To Move,Whitefield,4 Bedroom,4200.0,4.0,2.0,420.0
164,Super built-up  Area,Ready To Move,RMV Extension,3 BHK,2000.0,3.0,1.0,175.0
165,Super built-up  Area,18-Dec,Sarjapur,2 BHK,1242.5,2.0,0.0,43.49
166,Super built-up  Area,Ready To Move,Tejaswini Nagar,3 BHK,1425.0,2.0,2.0,75.0
167,Super built-up  Area,Ready To Move,Electronic City,3 BHK,1500.0,2.0,1.0,64.5
168,Built-up  Area,Ready To Move,Electronic City,2 BHK,1060.0,2.0,1.0,60.0
